2016/09/27 10:55:28 INFO  - jmeter.samplers.StatisticalSampleSender: Using StatisticalSampleSender (client settings) for this run. Thresholds: num=100, time=60000. Key uses ThreadName: false 
2016/09/27 10:55:28 INFO  - jmeter.samplers.StatisticalSampleSender: Using StatisticalSampleSender (client settings) for this run. Thresholds: num=100, time=60000. Key uses ThreadName: false 
2016/09/27 10:55:28 INFO  - jmeter.samplers.StatisticalSampleSender: Using StatisticalSampleSender (client settings) for this run. Thresholds: num=100, time=60000. Key uses ThreadName: false 
2016/09/27 10:55:32 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,127.0.0.1:24000) 
2016/09/27 10:55:49 INFO  - jmeter.engine.ClientJMeterEngine: sent test to 127.0.0.1:24001 basedir='.' 
2016/09/27 10:55:49 INFO  - jmeter.engine.ClientJMeterEngine: Sending properties {} 
2016/09/27 10:55:49 INFO  - jmeter.engine.ClientJMeterEngine: sent run command to 127.0.0.1:24001 
2016/09/27 10:55:49 INFO  - jmeter.engine.ClientJMeterEngine: running clientengine run method 
2016/09/27 10:55:49 INFO  - jmeter.samplers.StatisticalSampleSender: Using StatisticalSampleSender (client settings) for this run. Thresholds: num=100, time=60000. Key uses ThreadName: false 
2016/09/27 10:55:49 INFO  - jmeter.samplers.StatisticalSampleSender: Using StatisticalSampleSender (client settings) for this run. Thresholds: num=100, time=60000. Key uses ThreadName: false 
2016/09/27 10:55:49 INFO  - jmeter.samplers.StatisticalSampleSender: Using StatisticalSampleSender (client settings) for this run. Thresholds: num=100, time=60000. Key uses ThreadName: false 
2016/09/27 10:55:52 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,127.0.0.1:24001) 
2016/09/27 10:56:02 INFO  - jmeter.engine.ClientJMeterEngine: sent test to 127.0.0.1:24002 basedir='.' 
2016/09/27 10:56:02 INFO  - jmeter.engine.ClientJMeterEngine: Sending properties {} 
2016/09/27 10:56:03 INFO  - jmeter.engine.ClientJMeterEngine: sent run command to 127.0.0.1:24002 
2016/09/27 10:56:07 INFO  - jmeter.gui.util.JMeterMenuBar: setRunning(true,127.0.0.1:24002) 
2016/09/27 11:21:24 INFO  - jmeter.util.JMeterUtils: Setting Locale to fr 
2016/09/27 11:21:28 INFO  - jmeter.util.JMeterUtils: Setting Locale to en 
